,Accuracy,Sensitivity,Specificity,tAccuracy,tSensitivity,tSpecificity
0,0.575,0.631578947368421,0.5238095238095238,0.55,0.7142857142857143,0.46153846153846156
1,0.5333333333333333,0.27450980392156865,0.7246376811594203,0.575,0.25,0.9
2,0.6166666666666667,0.4117647058823529,0.7681159420289855,0.5,0.3,0.7
3,0.5,0.5740740740740741,0.4393939393939394,0.65,0.6470588235294118,0.6521739130434783
4,0.5166666666666667,0.1320754716981132,0.8208955223880597,0.575,0.16666666666666666,0.9090909090909091
5,0.4166666666666667,0.5283018867924528,0.3283582089552239,0.5,0.5555555555555556,0.45454545454545453
6,0.5,0.6415094339622641,0.3880597014925373,0.425,0.4444444444444444,0.4090909090909091
7,0.44166666666666665,0.5686274509803921,0.34782608695652173,0.525,0.5,0.55
8,0.55,0.6415094339622641,0.47761194029850745,0.575,0.5555555555555556,0.5909090909090909
9,0.4083333333333333,0.3584905660377358,0.44776119402985076,0.525,0.6111111111111112,0.45454545454545453
10,0.5333333333333333,0.2727272727272727,0.7538461538461538,0.6,0.25,0.8333333333333334
11,0.5333333333333333,0.28846153846153844,0.7205882352941176,0.6,0.47368421052631576,0.7142857142857143
12,0.575,0.35714285714285715,0.765625,0.425,0.26666666666666666,0.52
13,0.48333333333333334,0.22641509433962265,0.6865671641791045,0.65,0.5555555555555556,0.7272727272727273
14,0.5416666666666666,0.5555555555555556,0.5303030303030303,0.6,0.47058823529411764,0.6956521739130435
15,0.48333333333333334,0.7719298245614035,0.2222222222222222,0.525,0.8571428571428571,0.34615384615384615
16,0.4666666666666667,0.58,0.38571428571428573,0.6,0.42857142857142855,0.7894736842105263
17,0.5583333333333333,0.37735849056603776,0.7014925373134329,0.525,0.4444444444444444,0.5909090909090909
18,0.49166666666666664,0.34545454545454546,0.6153846153846154,0.55,0.25,0.75
19,0.44166666666666665,0.9411764705882353,0.07246376811594203,0.5,0.9,0.1
20,0.45,0.82,0.18571428571428572,0.475,0.8095238095238095,0.10526315789473684
21,0.44166666666666665,0.8269230769230769,0.14705882352941177,0.475,0.8421052631578947,0.14285714285714285
22,0.55,0.7818181818181819,0.35384615384615387,0.475,0.875,0.20833333333333334
23,0.6,0.3137254901960784,0.8115942028985508,0.375,0.15,0.6
24,0.5333333333333333,0.5263157894736842,0.5396825396825397,0.575,0.35714285714285715,0.6923076923076923
