"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
0,0,0,0.00666666666666667,0.004,0.00222222222222222,0.00333333333333333,0.00458333333333333,0.0122222222222222,0.076,0.111515151515152,0.168888888888889
0.42,0.121666666666667,0.0977777777777778,0.0616666666666667,0.0513333333333333,0.065,0.0966666666666667,0.101666666666667,0.132222222222222,0.147333333333333,0.140606060606061,0.158055555555556
0,0.015,0.0111111111111111,0.00666666666666667,0.00866666666666667,0.03,0.0614285714285714,0.11,0.115555555555556,0.137333333333333,0.152121212121212,0.149722222222222
1,0.858333333333333,0.815555555555556,0.801666666666667,0.793333333333333,0.820555555555556,0.867619047619048,0.882083333333333,0.894444444444444,0.884666666666667,0.856969696969697,0.846111111111111
0.34,0.178333333333333,0.137777777777778,0.194166666666667,0.178666666666667,0.166666666666667,0.138095238095238,0.12,0.0992592592592593,0.0913333333333333,0.0757575757575758,0.0838888888888889
0,0,0.00222222222222222,0.0158333333333333,0.0233333333333333,0.0372222222222222,0.0347619047619048,0.04875,0.06,0.0566666666666667,0.053030303030303,0.0547222222222222
0.0633333333333333,0.135,0.15,0.149166666666667,0.096,0.121111111111111,0.15047619047619,0.156666666666667,0.168148148148148,0.188666666666667,0.206060606060606,0.200277777777778
0.226666666666667,0.243333333333333,0.315555555555556,0.389166666666667,0.439333333333333,0.457777777777778,0.419047619047619,0.427916666666667,0.422222222222222,0.438333333333333,0.415151515151515,0.402222222222222
0.0266666666666667,0.02,0.0388888888888889,0.0258333333333333,0.028,0.0372222222222222,0.0357142857142857,0.04,0.0366666666666667,0.036,0.0387878787878788,0.0494444444444444
1,0.996666666666667,0.814444444444444,0.6175,0.541333333333333,0.481111111111111,0.453333333333333,0.409166666666667,0.382222222222222,0.361333333333333,0.333030303030303,0.320555555555556
0.356666666666667,0.375,0.345555555555556,0.29,0.283333333333333,0.278333333333333,0.285714285714286,0.271666666666667,0.262222222222222,0.262666666666667,0.244848484848485,0.253333333333333
0,0.00666666666666667,0.00444444444444444,0.00166666666666667,0.00133333333333333,0.00222222222222222,0.000476190476190476,0.00291666666666667,0.0037037037037037,0.00266666666666667,0.00787878787878788,0.0161111111111111
0,0.0733333333333333,0.0522222222222222,0.0733333333333333,0.0533333333333333,0.0627777777777778,0.06,0.0629166666666667,0.0633333333333333,0.048,0.0521212121212121,0.0588888888888889
0.42,0.231666666666667,0.171111111111111,0.181666666666667,0.199333333333333,0.237222222222222,0.225238095238095,0.206666666666667,0.184074074074074,0.162,0.14969696969697,0.154444444444444
0.00666666666666667,0.015,0.00666666666666667,0.005,0.00866666666666667,0.015,0.0128571428571429,0.0166666666666667,0.0237037037037037,0.029,0.0403030303030303,0.0458333333333333
0,0.005,0.00777777777777778,0.00916666666666667,0.0146666666666667,0.0222222222222222,0.0395238095238095,0.0370833333333333,0.0377777777777778,0.046,0.0496969696969697,0.0647222222222222
0.136666666666667,0.146666666666667,0.108888888888889,0.11,0.11,0.113333333333333,0.0966666666666667,0.09375,0.0859259259259259,0.123,0.147878787878788,0.146666666666667
0.126666666666667,0.321666666666667,0.366666666666667,0.338333333333333,0.328,0.277777777777778,0.274761904761905,0.25,0.221111111111111,0.202333333333333,0.215454545454545,0.186944444444444
0.0233333333333333,0.0316666666666667,0.0133333333333333,0.0166666666666667,0.0133333333333333,0.0877777777777778,0.153333333333333,0.198333333333333,0.235555555555556,0.273333333333333,0.276363636363636,0.281666666666667
0.00333333333333333,0.136666666666667,0.207777777777778,0.275,0.362666666666667,0.403888888888889,0.42,0.4325,0.418518518518519,0.417333333333333,0.403333333333333,0.403888888888889
0.0133333333333333,0.005,0.00777777777777778,0.0225,0.02,0.0161111111111111,0.0166666666666667,0.0175,0.0125925925925926,0.0153333333333333,0.0109090909090909,0.0119444444444444
0,0,0.00222222222222222,0.00333333333333333,0.00666666666666667,0.0183333333333333,0.0233333333333333,0.0366666666666667,0.0455555555555556,0.042,0.0372727272727273,0.0391666666666667
0.0166666666666667,0.03,0.0488888888888889,0.0725,0.05,0.06,0.0647619047619048,0.0725,0.0637037037037037,0.055,0.056969696969697,0.0438888888888889
0.0233333333333333,0.0466666666666667,0.02,0.0191666666666667,0.0133333333333333,0.0422222222222222,0.0685714285714286,0.0883333333333333,0.0811111111111111,0.085,0.0918181818181818,0.0902777777777778
0,0.00166666666666667,0.00444444444444444,0.00416666666666667,0.00466666666666667,0.00888888888888889,0.01,0.00833333333333333,0.00555555555555556,0.012,0.0172727272727273,0.0161111111111111
0,0,0.00222222222222222,0.00583333333333333,0.018,0.0233333333333333,0.02,0.0404166666666667,0.0388888888888889,0.0576666666666667,0.0542424242424242,0.05
0.01,0.015,0.0166666666666667,0.0275,0.036,0.0333333333333333,0.040952380952381,0.0429166666666667,0.032962962962963,0.063,0.101212121212121,0.142777777777778
0.00666666666666667,0.0216666666666667,0.0133333333333333,0.0291666666666667,0.0326666666666667,0.0461111111111111,0.0542857142857143,0.0745833333333333,0.0766666666666667,0.0706666666666667,0.0690909090909091,0.0588888888888889
0,0,0,0.00166666666666667,0.002,0.00277777777777778,0.00380952380952381,0.00583333333333333,0.00925925925925926,0.007,0.00696969696969697,0.00777777777777778
0,0.005,0.00777777777777778,0.015,0.00733333333333333,0.00444444444444444,0.00761904761904762,0.00583333333333333,0.0037037037037037,0.00933333333333333,0.00878787878787879,0.0116666666666667
0,0.0583333333333333,0.02,0.0183333333333333,0.0133333333333333,0.0144444444444444,0.0361904761904762,0.0420833333333333,0.0548148148148148,0.0713333333333333,0.0845454545454545,0.103611111111111
0,0.00333333333333333,0.00111111111111111,0.00333333333333333,0.00466666666666667,0.0122222222222222,0.0157142857142857,0.0183333333333333,0.0148148148148148,0.0263333333333333,0.0390909090909091,0.0555555555555556
0,0,0,0.000833333333333333,0.008,0.0105555555555556,0.0380952380952381,0.06125,0.0807407407407407,0.096,0.0803030303030303,0.0755555555555556
