"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
0.0509295817894065,0.0151197195937301,0.0173302049144508,0.0256637345735681,0.0346321156167964,0.0320078274440367,0.034494397870121,0.0298415518297304,0.0240893778062548,0.0202763397499075,0.017756956460666,0.017131261235586
0.0477464829275686,0.0445633840657307,0.0300626003618025,0.0234753541060546,0.0174433817628717,0.0204248843634599,0.0222167308316033,0.0197948960470545,0.0163477669941305,0.0139101420262317,0.0126797822430237,0.0127545003005588
0.035014087480217,0.0198943678864869,0.0166228496118202,0.0157165506303247,0.0178253536262923,0.0213090784917482,0.0262443253098472,0.0295928722311493,0.0264865263318364,0.0239050724524027,0.0237285551518826,0.0208669814276041
0,0,0.0176838825657662,0.0125334517684868,0.00827605704077856,0.005747261833874,0.00422247808202988,0.00323283478155412,0.00255433859283289,0.00206901426019464,0.00170992914065673,0.0014368154584685
0,0,0.00282942121052258,0.0173081000612436,0.0220270441239183,0.0377550892779107,0.0439787332543727,0.0399876794518387,0.0333635917740788,0.028043100972792,0.0258593899271625,0.0231216764547392
0,0,0,0.00198943678864869,0.00216450722604978,0.00318309886183791,0.0035728660694099,0.00557042300821634,0.00558024738741954,0.00566591597407147,0.00760260802538145,0.00782511803535152
0,0,0.00247574355920726,0.0181038747767031,0.0301757772102234,0.0267026626743069,0.0202029335924814,0.0187007058132977,0.0155618166578742,0.0133053532424824,0.011995810586761,0.0103892810073876
0,0.0175070437401085,0.013086073098667,0.0127323954473516,0.0104405642668283,0.0127323954473516,0.0120178222334696,0.0115884692938786,0.0170944198135739,0.0182709874669496,0.0166783857719441,0.0158491797495679
0,0.00557042300821634,0.00495148711841452,0.00676408508140555,0.00598422586025526,0.00565884242104517,0.00480712889338786,0.00442649685474334,0.0037332640972173,0.003947042588679,0.00378815071160875,0.00391255901767576
0,0,0,0.00179049310978382,0.00751211331393746,0.011494523667748,0.0136418522650196,0.0150202477542976,0.0168979322295099,0.0174115507742534,0.015126296244271,0.0143460497314778
0,0,0.000353677651315323,0.000795774715459477,0.00407436654315252,0.00530516476972985,0.00915952937794173,0.0107429586587029,0.0117892550438441,0.0124140855611678,0.0124430228235482,0.0129313391262165
0,0.00875352187005424,0.0077809083289371,0.00557042300821634,0.00598422586025526,0.00592410065953166,0.00889968457289374,0.00865405003062181,0.0106889245730853,0.0101222543806445,0.012548249232204,0.0128650245665949
0,0.00477464829275686,0.00636619772367581,0.00457570461389199,0.0094219726310402,0.0137934284012976,0.0161753391142375,0.0193970086893247,0.0201596261249734,0.0208174665564199,0.0202823902684052,0.0196070047947932
0,0.0222816920328653,0.0198059484736581,0.030438382866325,0.0230456357597064,0.0179491408042526,0.0196182827811234,0.018551498054149,0.0175266924985149,0.0181436635124761,0.0168888385892557,0.0156723409239103
0,0,0.00282942121052258,0.0113397896952975,0.01158647985709,0.0236964026381266,0.0242954892719873,0.0220330124342843,0.0215350392134219,0.022504508953194,0.0216766401830945,0.0194301659691356
0,0,0,0.00238732414637843,0.003947042588679,0.00725039185196412,0.00643115892493781,0.00785827531516233,0.00762371826168585,0.00814873308630504,0.010996159704531,0.0102345470349372
0,0.00318309886183791,0.0116713624934057,0.00676408508140555,0.00432901445209955,0.00415571240295504,0.0034429436668859,0.00382966581814873,0.00947070155188809,0.0108543671188673,0.0102332682417764,0.0121576692639642
0.200535228295788,0.0660493013831366,0.032892021572325,0.02287852306946,0.0165521140815571,0.0170649466759643,0.0222167308316033,0.0215853891568383,0.0196880559232196,0.0185892973531334,0.0175465036433544,0.0204027795102527
0.0954929658551372,0.0541126806512444,0.032892021572325,0.0376003553054603,0.0262287346215444,0.0207785620147752,0.0170847959319055,0.0178054592584058,0.0161119818932536,0.0159154943091895,0.0144160179858444,0.0128650245665949
0,0.00318309886183791,0.00424413181578388,0.00298415518297304,0.00280112699841736,0.00291784062335141,0.00545674090600784,0.00467517645332443,0.0054623548369811,0.00585690190578175,0.00523501383062598,0.00625567345763978
0,0.0238732414637843,0.0155618166578742,0.0125334517684868,0.0207538045791832,0.0220164337943789,0.0196182827811234,0.0157165506303247,0.0156797092083127,0.0158518323319528,0.0153630556637466,0.0164681156393697
0.00636619772367581,0.0135281701628111,0.0406729299012621,0.0292447207931358,0.02317295971418,0.0207785620147752,0.0172147183344295,0.0237737696243519,0.0239714852558163,0.0214540863287875,0.0185724611277484,0.0170649466759643
0,0,0.0091956189341984,0.012135564410757,0.0196078889889215,0.0257300491331897,0.0289077345615892,0.0276531713622168,0.0295124351264231,0.0302394391874601,0.0278323850894587,0.0260395170780907
0.0286478897565412,0.0342183127647575,0.0222816920328653,0.0175070437401085,0.0175707057173452,0.0154733972450454,0.0163702227180235,0.0178054592584058,0.0157190067251255,0.0161064802408998,0.0169940649979115,0.0166670593182346
0,0.0175070437401085,0.033953054526271,0.0272552840044871,0.0174433817628717,0.0151197195937301,0.0187088259634555,0.0172583641415274,0.0211027665284809,0.0176661986832004,0.0160996405243372,0.0154070826854238
0,0,0,0.000994718394324346,0.00165521140815571,0.00627777831084698,0.0106536370069677,0.010991638257284,0.0100994618208931,0.00919915571071155,0.00975974940282532,0.0117376770530273
0,0,0,0,0.00763943726841098,0.00592410065953166,0.00799022775522577,0.010991638257284,0.0143042961198642,0.0146740857530727,0.0135479001144341,0.0134618556031895
0,0.00954929658551372,0.0102566518881444,0.0109419023375678,0.0174433817628717,0.0280289538667393,0.0257895969010132,0.0210880299596761,0.0174087999480765,0.0170932408880696,0.0159944141156814,0.0175070437401085
